id,name,display_name,stage_id,stage_name,sub_stage_id,task_unit_id,task_unit_name,task_material_category_id,task_material_category_name
7895,Bath waste,Supply & Install Bath waste,472,Plumbed appliances,1764,1,nr,330,Bath waste
9475,Bottle trap,Supply & Install Bottle trap,472,Plumbed appliances,1888,1,nr,1488,Bottle trap
9201,Boxing to concealed cistern unit / concealed frame for wash basin,Supply & Install Boxing to concealed cistern unit / concealed frame for wash basin,472,Plumbed appliances,1655,1,nr,1336,Boxing to cistern / concealed cistern unit
9171,Butler sink / belfast sink,Supply & Install Butler sink / belfast sink,472,Plumbed appliances,1655,1,nr,1313,Butler sink / belfast sink
9408,Combination Toilet and Basin Unit,Supply & Install Combination Toilet and Basin Unit,472,Plumbed appliances,1651,1,nr,1447,Combination Toilet and Basin Unit
9423,Concealed cistern,Supply & Install Concealed cistern,472,Plumbed appliances,1651,1,nr,1457,Concealed cistern
9426,Concealed frame for washbasin / concealed frame for sink,Supply & Install Concealed frame for washbasin / concealed frame for sink,472,Plumbed appliances,1655,1,nr,1460,Concealed frame for washbasin / Concealed frame for sink
9421,Concealed shower mixer / concealed bath mixer,Supply & Install Concealed shower mixer / concealed bath mixer,472,Plumbed appliances,1788,1,nr,1455,Concealed shower mixer
9425,Concealed sink tap mixer / concealed basin tap mixer,Supply & Install Concealed sink tap mixer / concealed basin tap mixer,472,Plumbed appliances,1653,1,nr,1459,Concealed sink tap mixer / concealed basin tap mixer
8491,Counter top sink / counter top basin,Supply & Install Counter top sink / counter top basin,472,Plumbed appliances,1655,1,nr,656,Counter top sink
9804,"Doc M Pack including toilet, washbasin, mixer, waste, grab rails, support rails, toilet roll holder, cistern, toilet seat & back support","Supply & Install Doc M Pack including toilet, washbasin, mixer, waste, grab rails, support rails, toilet roll holder, cistern, toilet seat & back support",472,Plumbed appliances,1652,1,nr,1649,Doc M Pack including sanitaryware
10166,Electric shower,Supply & Install Electric shower,472,Plumbed appliances,1788,1,nr,1878,Electric shower
8104,Exposed shower mixer and head,Supply & Install Exposed shower mixer and head,472,Plumbed appliances,1788,1,nr,347,Exposed shower mixer and head
8906,External shower,Supply & Install External shower,472,Plumbed appliances,1788,1,nr,1123,External shower
9351,External water tank,Supply & Install External water tank,472,Plumbed appliances,1859,1,nr,1414,External water tank
10256,Fit out complete bathroom,Supply & Install Fit out complete bathroom,472,Plumbed appliances,1976,35,item,1610,Provisional Sum for Plumbed Appliances
8504,Flush plate,Supply & Install Flush plate,472,Plumbed appliances,1889,1,nr,658,Flush plate
8616,Freestanding Bath,Supply & Install Freestanding Bath,472,Plumbed appliances,1649,1,nr,715,Freestanding bath
8523,Freestanding sink tap and mixer,Supply & Install Freestanding sink tap and mixer,472,Plumbed appliances,1653,1,nr,703,Sink tap - freestanding
8441,Hand shower / Shower handset,Supply & Install Hand shower / Shower handset,472,Plumbed appliances,1788,1,nr,646,Hand shower
9809,Instant hot water handwash unit,Supply & Install Instant hot water handwash unit,472,Plumbed appliances,1653,1,nr,1656,Instant hot water handwash unit
8144,Integrated shower mixer and head,Supply & Install Integrated shower mixer and head,472,Plumbed appliances,1788,1,nr,481,"Integrated shower mixer and head, wall mounted"
9805,Macerator pump,Supply & Install Macerator pump,472,Plumbed appliances,1651,1,nr,1650,Macerator pump
10379,Mastic / sealant to WCs,Supply & Install Mastic / sealant to WCs,472,Plumbed appliances,2038,35,item,1981,Mastic / sealant to WCs
9066,Mastic sealant,Supply & Install Mastic sealant,472,Plumbed appliances,2038,2,m,191,"Mastic / sealant to ensuites, bathrooms and shower rooms"
10625,Negative head pump,Supply & Install Negative head pump,472,Plumbed appliances,1788,1,nr,2032,Shower pump
10064,New mastic around bath tub,Supply & Install New mastic around bath tub,472,Plumbed appliances,2038,2,m,1833,Mastic per metre
10609,Pedestal basin,Supply & Install Pedestal basin,472,Plumbed appliances,1655,1,nr,363,Pedestal sink
9413,Pedestal bidet,Supply & Install Pedestal bidet,472,Plumbed appliances,1651,1,nr,1450,Pedestal bidet
8488,Pedestal sink,Supply & Install Pedestal sink,472,Plumbed appliances,1655,1,nr,363,Pedestal sink
8496,Pedestal toilet,Supply & Install Pedestal toilet,472,Plumbed appliances,1651,1,nr,364,Pedestal toilet
9275,Plumber Subcontractor quotation,Supply & Install Plumber Subcontractor quotation,472,Plumbed appliances,1968,35,item,1373,Plumber subcontractor quotation
10381,Pricing clarifications - Plumbed appliances,Supply & Install Pricing clarifications - Plumbed appliances,472,Plumbed appliances,2084,35,item,1983,Pricing clarifications - Plumbed appliances
9337,Provisional Sum for Plumbed Appliances,Supply & Install Provisional Sum for Plumbed Appliances,472,Plumbed appliances,1976,35,item,1610,Provisional Sum for Plumbed Appliances
10899,Relace existing ball valve fittings to basin tap,Supply & Install Relace existing ball valve fittings to basin tap,472,Plumbed appliances,1653,7,nr,,
10898,Relace existing ball valve fittings to basin tap,Supply & Install Relace existing ball valve fittings to basin tap,472,Plumbed appliances,1653,7,nr,,
10797,Relocate water tank,Supply & Install Relocate water tank,472,Plumbed appliances,1859,35,item,,
8915,Repair water feature,Supply & Install Repair water feature,472,Plumbed appliances,1959,1,nr,1131,Repair water feature
10940,Scrape and replace mastic sealant,Supply & Install Scrape and replace mastic sealant,472,Plumbed appliances,2038,2,m,191,"Mastic / sealant to ensuites, bathrooms and shower rooms"
8495,Sink trap,Supply & Install Sink trap,472,Plumbed appliances,1888,1,nr,657,Sink trap
10491,Water meter,Supply & Install Water meter,472,Plumbed appliances,2091,1,nr,2033,Water meter
9126,	 600mm wide by 1200mm deep trench foundations,Supply & Install 	 600mm wide by 1200mm deep trench foundations,478,Foundations and substructure,1648,2,m,1279,"	Shuttering, concrete and mesh to 600mm wide by 1200mm deep trench foundations - 10m-20 run"
9125,	 Hardwood casement window (3-4m2),Supply & Install 	 Hardwood casement window (3-4m2),483,External windows and doors,1664,1,nr,1278,Hardwood casement window (3-4m2)
9084,	 Plaster ceiling rose; 300-450mm diameter,Supply & Install 	 Plaster ceiling rose; 300-450mm diameter,501,Ceiling preparation and finishes,1916,1,nr,1257,Plaster ceiling rose; 300-450mm diameter
8938,	Reposition existing alarm system,Supply & Install 	Reposition existing alarm system,479,Wired appliances,1753,1,nr,6,Alarm control pad
10876, Acrow propping (650mm spacing) to support wall when removing chimney breast,Supply & Install  Acrow propping (650mm spacing) to support wall when removing chimney breast,471,Preliminaries,1954,1,nr,849,"Supply and install temporary propping  (for wall opening or wall demo, 650mm spacing, rent / 1 week) "
9895, Concrete edging,Supply & Install  Concrete edging,493,External works,1873,2,m,1723,Border edging / pavement edging
10378, Mastic / sealant to kitchens,Supply & Install  Mastic / sealant to kitchens,469,"Units, worktops and kitchen appliances",2082,35,item,1982,Mastic / sealant to kitchens
10548,"1000mm wide by 1000mm deep footing, cast in underpinning sequence","Supply & Install 1000mm wide by 1000mm deep footing, cast in underpinning sequence",478,Foundations and substructure,1648,2,m,2053,"Shuttering, concrete and mesh to 1000mm wide by 1000mm deep trench foundations"
9776,"1000mm wide x 1000mm deep trench footing, 1.5m BGL","Supply & Install 1000mm wide x 1000mm deep trench footing, 1.5m BGL",478,Foundations and substructure,1648,2,m,1638,"Shuttering, concrete and mesh to 1000mm wide by 1500mm deep trench foundations "
9003,1000x1000mm wide by 1000mm deep pad foundations,Supply & Install 1000x1000mm wide by 1000mm deep pad foundations,478,Foundations and substructure,1648,1,nr,1198,"Shuttering, concrete and mesh to 1000x1000mm wide by 1000mm deep pad foundations"
9916,1000x1000mm wide by 1200mm deep pad foundations,Supply & Install 1000x1000mm wide by 1200mm deep pad foundations,478,Foundations and substructure,1648,35,item,1735,"Shuttering, concrete and mesh to 1000x1000mm wide by 1200mm deep pad foundations"
9592,1000x1000mm wide by 1250mm deep pad foundations,Supply & Install 1000x1000mm wide by 1250mm deep pad foundations,478,Foundations and substructure,1648,1,nr,1536,"Shuttering, concrete and mesh to 1000x1000mm wide by 1250mm deep pad foundations"
9917,1000x1000mm wide by 1300mm deep pad foundations,Supply & Install 1000x1000mm wide by 1300mm deep pad foundations,478,Foundations and substructure,1648,35,item,1736,"Shuttering, concrete and mesh to 1000x1000mm wide by 1300mm deep pad foundations"
8982,1000x1000mm wide by 400mm deep pad foundation,Supply & Install 1000x1000mm wide by 400mm deep pad foundation,478,Foundations and substructure,1648,1,nr,1199,"Shuttering, concrete and mesh to 1000x1000mm wide by 400mm deep pad foundation"
9006,1000x1000mm wide by 450mm deep pad foundation,Supply & Install 1000x1000mm wide by 450mm deep pad foundation,478,Foundations and substructure,1648,1,nr,1204,"Shuttering, concrete and mesh to 1000x1000mm wide by 450mm deep pad foundation"
9301,1000x1000mm wide by 500mm deep pad foundation,Supply & Install 1000x1000mm wide by 500mm deep pad foundation,478,Foundations and substructure,1648,1,nr,1389,"Shuttering, concrete and mesh to 1000x1000mm wide by 500mm deep pad foundation"
8981,1000x1000mm wide by 600mm deep pad foundation,Supply & Install 1000x1000mm wide by 600mm deep pad foundation,478,Foundations and substructure,1648,1,nr,1096,"Shuttering, concrete and mesh to 1000x1000mm wide by 600mm deep pad foundation"
8216,1000x1000mm wide by 750mm deep pad foundations,Supply & Install 1000x1000mm wide by 750mm deep pad foundations,478,Foundations and substructure,1648,1,nr,800,"Shuttering, concrete and mesh to 1000x1000mm wide by 750mm deep pad foundations"
10263,1000x500mm wide by 1000mm deep pad foundation,Supply & Install 1000x500mm wide by 1000mm deep pad foundation,478,Foundations and substructure,1648,35,item,1389,"Shuttering, concrete and mesh to 1000x1000mm wide by 500mm deep pad foundation"
9493,1000x800mm wide by 750mm deep pad foundations,Supply & Install 1000x800mm wide by 750mm deep pad foundations,478,Foundations and substructure,1648,35,item,1500,"Shuttering, concrete and mesh to 1000x800mm wide by 750mm deep pad foundations"
8018,100mm Concrete block wall; external wall,Supply & Install 100mm Concrete block wall; external wall,489,External wall structure and lining,1707,4,m2,405,100mm blocks
10299,100mm Concrete block wall; external wall; plinth,Supply & Install 100mm Concrete block wall; external wall; plinth,489,External wall structure and lining,1707,4,m2,405,100mm blocks
9350,100mm Concrete block wall; gable ends,Supply & Install 100mm Concrete block wall; gable ends,489,External wall structure and lining,1707,4,m2,405,100mm blocks
9075,100mm concrete block wall; internal wall,Supply & Install 100mm concrete block wall; internal wall,503,Internal wall structure and lining,1709,4,m2,405,100mm blocks
10137,100mm concrete block wall; party wall,Supply & Install 100mm concrete block wall; party wall,503,Internal wall structure and lining,2044,4,m2,405,100mm blocks
9274,100mm ready mix concrete slab,Supply & Install 100mm ready mix concrete slab,467,Floor structure and lining,1687,4,m2,1372,100mm concrete slab
9761,1100 x 750 x 1000mm deep pad foundation,Supply & Install 1100 x 750 x 1000mm deep pad foundation,478,Foundations and substructure,1648,35,item,1634,"Shuttering, concrete and mesh to 1100 x 750 x 1000mm deep pad foundation"
10227,1100mm wide by 600mm deep trench foundations,Supply & Install 1100mm wide by 600mm deep trench foundations,478,Foundations and substructure,1648,2,m,1909,"Shuttering, concrete and mesh to 1100mm wide by 600mm deep trench foundations - 4-10m run"
8406,1100x1100mm wide by 1000mm deep pad foundations,Supply & Install 1100x1100mm wide by 1000mm deep pad foundations,478,Foundations and substructure,1648,1,nr,627,"Shuttering, concrete and mesh to 1100x1100mm wide by 1000mm deep pad foundations"
10361,1100x1100mm wide by 600mm deep pad foundations,Supply & Install 1100x1100mm wide by 600mm deep pad foundations,478,Foundations and substructure,1648,35,item,1970,"Shuttering, concrete and mesh to 1100x1100mm wide by 600mm deep pad foundations"
10444,110mm uPVC rainwater pipe with gravel fill,Supply & Install 110mm uPVC rainwater pipe with gravel fill,485,Drainage and pipework,1646,2,m,1803,uPVC drainage pipes
8959,1200mm wide x 1600mm deep trench foundations,Supply & Install 1200mm wide x 1600mm deep trench foundations,478,Foundations and substructure,1648,2,m,1156,"Shuttering, concrete and mesh to 1200mm wide by 1600mm deep trench foundations "
10741,1200x1000mm wide by 500mm deep pad foundations,Supply & Install 1200x1000mm wide by 500mm deep pad foundations,478,Foundations and substructure,1648,35,item,2157,"Shuttering, concrete and mesh to 1200x1000mm wide by 500mm deep pad foundations"
9004,1200x1200mm wide by 1000mm deep pad foundations,Supply & Install 1200x1200mm wide by 1000mm deep pad foundations,478,Foundations and substructure,1648,1,nr,1202,"Shuttering, concrete and mesh to 1200x1200mm by 1000mm deep pad foundations"
8924,1200x1200mm wide by 1200mm deep pad foundations,Supply & Install 1200x1200mm wide by 1200mm deep pad foundations,478,Foundations and substructure,1648,1,nr,1200,"Shuttering, concrete and mesh to 1200x1200mm by 1200mm deep pad foundations"
9225,1200x1200mm wide by 1750mm deep pad foundations,Supply & Install 1200x1200mm wide by 1750mm deep pad foundations,478,Foundations and substructure,1648,1,nr,1350,"Shuttering, concrete and mesh to 1200x1200mm wide by 1750mm deep pad foundations"
10068,1200x1200mm wide by 400mm deep pad foundations,Supply & Install 1200x1200mm wide by 400mm deep pad foundations,478,Foundations and substructure,1648,1,nr,1836,1200x1200mm wide by 400mm deep pad foundations
10226,1200x1200mm wide by 600mm deep pad foundations,Supply & Install 1200x1200mm wide by 600mm deep pad foundations,478,Foundations and substructure,1648,35,item,1907,"Shuttering, concrete and mesh to 1200x1200mm by 600mm deep pad foundations"
10684,1200x1700mm wide by 550mm deep pad foundations,Supply & Install 1200x1700mm wide by 550mm deep pad foundations,478,Foundations and substructure,1648,1,nr,2123,1200x1700mm wide by 550mm deep pad foundations
10869,1200x900mm wide by 750mm deep pad foundation,Supply & Install 1200x900mm wide by 750mm deep pad foundation,478,Foundations and substructure,1648,1,nr,2225,"Shuttering, concrete and mesh to 1200x900mm wide by 750mm deep pad foundations"
10709,"1250x1250mm wide by 450mm deep pad foundation, 1000mm deep excavation, excl. excavation","Supply & Install 1250x1250mm wide by 450mm deep pad foundation, 1000mm deep excavation, excl. excavation",478,Foundations and substructure,1648,1,nr,2139,"1250x1250mm wide by 450mm deep pad foundation, 1000mm deep excavation"
10685,1250x1500mm wide by 800mm deep pad foundations,Supply & Install 1250x1500mm wide by 800mm deep pad foundations,478,Foundations and substructure,1648,1,nr,2124,1250x1500mm wide by 800mm deep pad foundations
9353,125mm ready mix concrete slab,Supply & Install 125mm ready mix concrete slab,467,Floor structure and lining,1687,4,m2,1415,125mm concrete slab
9760,1300 x 1700 x 1000mm deep pad foundation,Supply & Install 1300 x 1700 x 1000mm deep pad foundation,478,Foundations and substructure,1648,35,item,1633,"Shuttering, concrete and mesh to 1300 x 1700 x 1000mm deep pad foundation"
9390,1400mm wide by 300mm deep strip foundation,Supply & Install 1400mm wide by 300mm deep strip foundation,478,Foundations and substructure,1648,2,m,1437,1400mm wide by 300mm deep strip foundations
9297,1400x1400mm wide by 1000mm concrete pad foundation,Supply & Install 1400x1400mm wide by 1000mm concrete pad foundation,478,Foundations and substructure,1648,35,item,1386,"Shuttering, concrete and mesh to 1400 x 1400 x 1000mm concrete pad foundation"
10568,"1400x1400mm wide by 300mm deep pad foundations, 1000mm deep excavation","Supply & Install 1400x1400mm wide by 300mm deep pad foundations, 1000mm deep excavation",478,Foundations and substructure,1648,1,nr,2058,"1400x1400mm wide by 300mm deep pad foundations, 1000mm deep excavation"
9468,1400x1400mm wide by 600mm deep pad foundations,Supply & Install 1400x1400mm wide by 600mm deep pad foundations,478,Foundations and substructure,1648,1,nr,1481,"Shuttering, concrete and mesh to 1400x1400mm by 600mm deep pad foundations"
8020,140mm Concrete block wall; external wall,Supply & Install 140mm Concrete block wall; external wall,489,External wall structure and lining,1707,4,m2,407,140mm blocks
9177,140mm Concrete block wall; internal wall,Supply & Install 140mm Concrete block wall; internal wall,503,Internal wall structure and lining,1709,4,m2,407,140mm blocks
8611,Toilet seat,Supply & Install Toilet seat,472,Plumbed appliances,1651,35,item,939,Toilet seat
10626,Wall hung bidet,Supply & Install Wall hung bidet,472,Plumbed appliances,1651,1,nr,2085,Wall hung bidet
9870,"Wall hung bidet, cistern frame and flush plate","Supply & Install Wall hung bidet, cistern frame and flush plate",472,Plumbed appliances,1651,1,nr,1701,"Wall hung bidet, cistern frame and flush plate"
8502,Wall hung toilet,Supply & Install Wall hung toilet,472,Plumbed appliances,1651,1,nr,278,Wall hung toilet
9871,"Wall hung toilet, cistern frame and flush plate","Supply & Install Wall hung toilet, cistern frame and flush plate",472,Plumbed appliances,1651,1,nr,1702,"Wall Hung Toilet, Cistern Frame and Flush Plate"
9659,WC Gasket,Supply & Install WC Gasket,472,Plumbed appliances,1651,1,nr,1584,WC Gasket
9624,Supply of sanitaryware,Supply & Install Supply of sanitaryware,472,Plumbed appliances,1652,1,nr,1562,Supply of sanitaryware
9937,Traditional pair basin taps,Supply & Install Traditional pair basin taps,472,Plumbed appliances,1653,1,nr,1748,Traditional pair basin tap
9424,Wall mounted sink tap / wall mounted basin tap (excludes mixer element),Supply & Install Wall mounted sink tap / wall mounted basin tap (excludes mixer element),472,Plumbed appliances,1653,1,nr,1458,Wall mounted sink tap / wall mounted basin tap (excluding mixer element)
8522,Wall mounted sink tap and mixer,Supply & Install Wall mounted sink tap and mixer,472,Plumbed appliances,1653,1,nr,221,Sink tap - wall mounted
9873,Vanity unit with basin,Supply & Install Vanity unit with basin,472,Plumbed appliances,1655,1,nr,1704,Vanity unit with basin
10610,Wall hung basin,Supply & Install Wall hung basin,472,Plumbed appliances,1655,1,nr,655,Wall hung sink
8489,Wall hung sink,Supply & Install Wall hung sink,472,Plumbed appliances,1655,1,nr,655,Wall hung sink
8284,Tap,Supply & Install Tap,472,Plumbed appliances,1849,1,nr,261,Tap
6070,Shower head,Supply & Install Shower head,472,Plumbed appliances,1788,1,nr,200,Shower head
9420,Shower holder / shower arm,Supply & Install Shower holder / shower arm,472,Plumbed appliances,1788,1,nr,1454,Shower holder
9418,Shower hose,Supply & Install Shower hose,472,Plumbed appliances,1788,1,nr,1453,Shower hose
9417,Shower outlet elbow,Supply & Install Shower outlet elbow,472,Plumbed appliances,1788,1,nr,1452,Shower outlet elbow
10489,Shower pump,Supply & Install Shower pump,472,Plumbed appliances,1788,1,nr,2032,Shower pump
8209,Wall mounted shower mixer,Supply & Install Wall mounted shower mixer,472,Plumbed appliances,1788,1,nr,201,Wall mounted shower mixer
9422,Wall mounted shower/bath mixer tap / trim (excludes mixer element),Supply & Install Wall mounted shower/bath mixer tap / trim (excludes mixer element),472,Plumbed appliances,1788,1,nr,1456,Wall mounted shower mixer tap / trim (excludes mixer element)
8211,Shower waste (acrylic tray),Supply & Install Shower waste (acrylic tray),472,Plumbed appliances,1789,1,nr,525,Shower waste (acrylic tray)
8615,Shower waste (wet room tray),Supply & Install Shower waste (wet room tray),472,Plumbed appliances,1789,1,nr,375,Shower waste (wet room)
10458,Waste water heat recovery system,Supply & Install Waste water heat recovery system,472,Plumbed appliances,1789,1,nr,2021,Waste water heat recovery system
8492,Sink waste,Supply & Install Sink waste,472,Plumbed appliances,1790,1,nr,380,Sink waste
8318,Water tank,Supply & Install Water tank,472,Plumbed appliances,1859,1,nr,600,Water tank
10036,Water tank; installation kit fittings for compliance,Supply & Install Water tank; installation kit fittings for compliance,472,Plumbed appliances,1859,1,nr,1815,Water tank; installation kit fittings for compliance
10118,Alarm sounder,Supply & Install Alarm sounder,479,Wired appliances,1733,35,item,107,Fire alarm
10282,Call Point,Supply & Install Call Point,479,Wired appliances,1733,7,nr,107,Fire alarm
9457,Carbon dioxide monitor,Supply & Install Carbon dioxide monitor,479,Wired appliances,1733,31,point,1478,Carbon dioxide monitor
9458,Carbon monoxide detector,Supply & Install Carbon monoxide detector,479,Wired appliances,1733,31,point,1479,Carbon monoxide detector
10693,Fire alarm certificate,Supply & Install Fire alarm certificate,479,Wired appliances,1733,35,item,2129,Fire alarm certificate
9150,Fire alarm system,Supply & Install Fire alarm system,479,Wired appliances,1733,1,nr,107,Fire alarm
10283,Fire exit signage,Supply & Install Fire exit signage,479,Wired appliances,1733,1,nr,1923,Fire exit signage
8133,Heat detector,Supply & Install Heat detector,479,Wired appliances,1733,31,point,473,Heat detector
8232,Smoke detector,Supply & Install Smoke detector,479,Wired appliances,1733,31,point,231,Smoke detector
8828,Coaxial RG6 Cable TV wiring with 1 no. double socket,Supply & Install Coaxial RG6 Cable TV wiring with 1 no. double socket,479,Wired appliances,1735,1,nr,1054,Coaxial RG6 Cable TV wiring with 1 no. double socket
8076,Data point / Ethernet socket,Supply & Install Data point / Ethernet socket,479,Wired appliances,1735,31,point,64,Data point
10000,Internet cabling installation / data network installation,Supply & Install Internet cabling installation / data network installation,479,Wired appliances,1735,2,m,1793,Data network installation
10402,Telephone socket,Supply & Install Telephone socket,479,Wired appliances,1735,31,point,1994,Telephone socket
9152,Waiting room doctors call system including call points,Supply & Install Waiting room doctors call system including call points,479,Wired appliances,1735,35,item,1296,Waiting room doctors call system
10323,Pricing clarifications - Wired Appliances,Supply & Install Pricing clarifications - Wired Appliances,479,Wired appliances,2057,35,item,1944,Pricing clarifications - Wired Appliances
9383,Allowance for BWIC / Builders Work in Connection with services for electrical installation,Supply & Install Allowance for BWIC / Builders Work in Connection with services for electrical installation,479,Wired appliances,1965,31,point,1434,BWIC with services / Builders Work in Connection with services
9151,Ceiling mounted speakers / Wall mounted speakers,Supply & Install Ceiling mounted speakers / Wall mounted speakers,479,Wired appliances,1965,1,nr,1295,Ceiling mounted speakers
10197,Chase chanel in floor,Supply & Install Chase chanel in floor,479,Wired appliances,1965,2,m,1896,Conduit and cable
9439,Electric door operation for garage doors,Supply & Install Electric door operation for garage doors,479,Wired appliances,1965,31,point,1471,Garage door operators
10713,Electrical installation - per point,Supply & Install Electrical installation - per point,479,Wired appliances,1965,1,nr,94,Electrical point
9584,Electrical supply for new external water feature pump,Supply & Install Electrical supply for new external water feature pump,479,Wired appliances,1965,1,nr,1533,Electrical supply for new external water feature pump
9097,First fix electrics,Supply & Install First fix electrics,479,Wired appliances,1965,31,point,94,Electrical point
10696,Liaison with solar panel contractor,Supply & Install Liaison with solar panel contractor,479,Wired appliances,1965,35,item,2132,Liaison with solar panel contractor
9588,Lighting supply to joinery,Supply & Install Lighting supply to joinery,479,Wired appliances,1965,1,nr,1535,Lighting supply to joinery
9506,Power supply to rooflight,Supply & Install Power supply to rooflight,479,Wired appliances,1965,1,nr,1503,Power supply to electric opening rooflight
9162,Solar panels fixed to flat roof,Supply & Install Solar panels fixed to flat roof,479,Wired appliances,1965,37,kWp,1305,Solar panels fixed to flat roof
9163,Solar panels fixed to pitched roof,Supply & Install Solar panels fixed to pitched roof,479,Wired appliances,1965,37,kWp,1306,Solar panels fixed to pitched roof
9973,Wireless Burglar Alarm,Supply & Install Wireless Burglar Alarm,479,Wired appliances,1965,35,item,1772,Burglar Alarm
9276,Electrical Subcontractor quotation,Supply & Install Electrical Subcontractor quotation,479,Wired appliances,1969,35,item,1374,Electrical subcontractor Quotation
8063,CCTV system,Supply & Install CCTV system,479,Wired appliances,1753,31,point,439,CCTV system
9718,Digital Lock System,Supply & Install Digital Lock System,479,Wired appliances,1753,35,item,1619,Digital Lock System
8899,Entry phone system,Supply & Install Entry phone system,479,Wired appliances,1753,1,nr,1114,Entry phone system
9145,Green and red light system,Supply & Install Green and red light system,479,Wired appliances,1753,1,nr,1292,Green and red light system
8647,Movement sensor,Supply & Install Movement sensor,479,Wired appliances,1753,31,point,159,PIR detector
8207,Security system,Supply & Install Security system,479,Wired appliances,1753,35,item,194,Security system
10370,Client Provisional Sum for External Light Fittings,Supply & Install Client Provisional Sum for External Light Fittings,479,Wired appliances,1977,35,item,,
10371,Client Provisional Sum for Internal Pendant Lights,Supply & Install Client Provisional Sum for Internal Pendant Lights,479,Wired appliances,1977,35,item,,
10826,Provisional sum for electrical installation,Supply & Install Provisional sum for electrical installation,479,Wired appliances,1977,35,item,,
10524,Provisional sum for lighting,Supply & Install Provisional sum for lighting,479,Wired appliances,1977,35,item,2045,Provisional sum for lighting
9338,Provisional Sum for Wired Appliances,Supply & Install Provisional Sum for Wired Appliances,479,Wired appliances,1977,35,item,1762,Provisional Sum for Wired Appliances
9410,Acoustic putty pads,Supply & Install Acoustic putty pads,479,Wired appliances,1722,1,nr,1448,Acoustic putty pads
7374,Double power socket,Supply & Install Double power socket,479,Wired appliances,1722,31,point,81,Double power socket
9606,Double power socket with USB,Supply & Install Double power socket with USB,479,Wired appliances,1722,31,point,81,Double power socket
8908,Electric car charging point,Supply & Install Electric car charging point,479,Wired appliances,1722,1,nr,1125,Electric car charging point
10831,Electric shower connection,Supply & Install Electric shower connection,479,Wired appliances,1722,1,nr,112,Fused spur
10044,Floor socket / Floorbox,Supply & Install Floor socket / Floorbox,479,Wired appliances,1722,1,nr,1820,Floor socket
9643,Lamp socket,Supply & Install Lamp socket,479,Wired appliances,1722,1,nr,1575,Lamp socket
8911,Replacing socket faceplate / replace socket faceplate,Supply & Install Replacing socket faceplate / replace socket faceplate,479,Wired appliances,1722,1,nr,1269,Socket faceplate
8208,Shaver socket,Supply & Install Shaver socket,479,Wired appliances,1722,31,point,198,Shaver socket
8180,Single power socket,Supply & Install Single power socket,479,Wired appliances,1722,31,point,218,Single power socket
9995,Toothbrush charger socket,Supply & Install Toothbrush charger socket,479,Wired appliances,1722,1,nr,1788,Toothbrush charger socket
9289,Triple power socket,Supply & Install Triple power socket,479,Wired appliances,1722,31,point,1384,Triple power socket
9720,Projector and screen,Supply & Install Projector and screen,479,Wired appliances,1850,1,nr,1620,Projector
9142,Television / TV Screen,Supply & Install Television / TV Screen,479,Wired appliances,1850,1,nr,1289,Television / TV
9565,TV aerial,Supply & Install TV aerial,479,Wired appliances,1850,31,point,1527,TV aerial
